economy,series,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019
ABW,AG.LND.ARBL.ZS,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111
ABW,BN.CAB.XOKA.GD.ZS,-11.813208837986,-4.65857687581843,3.99414243924537,4.7317741972835,1.1197958543778,-0.59136646769686,2.53380248998849
ABW,BX.GSR.ROYL.CD,75.0545027944862,67.3456428217191,17247.7427444961,33607.0173260593,8565.60983240223,932986.795265326,1750298.46454457
ABW,BX.KLT.DINV.WD.GD.ZS,9.97445713517423,7.46525460335849,-0.907264375161604,0.923397287531133,5.2533752062728,4.39981717177271,-2.2478342012416
ABW,EG.ELC.ACCS.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0
ABW,EG.FEC.RNEW.ZS,6.9,6.9,6.7,7.0,6.8,8.6,8.3
ABW,FB.ATM.TOTL.P5,124.135271289802,118.048268625394,119.30496001512,126.468142909001,125.425342887337,126.706214363877,126.813663886667
ABW,FD.AST.PRVT.GD.ZS,59.1636851428981,60.2405386637617,56.6268817632089,57.2219316866237,57.246534425591,55.9651018283957,59.6493537497553
ABW,FP.CPI.TOTL.ZG,-2.37206524252261,0.421440918881214,0.474763597342641,-0.93119598707956,-1.02828178762012,3.6260414135296,4.25746204335427
ABW,FR.INR.RINR,10.7097087655441,6.37347405601159,4.42635752603564,7.46758040290235,6.14327999866008,3.26873379730582,4.74304972808446
ABW,IT.CEL.SETS.P2,135.338052614131,135.141671422905,135.337479843354,,,,131.682169673877
ABW,IT.NET.USER.ZS,78.9,83.78,88.661226932496,93.542453865048,97.17,,
ABW,NE.TRD.GNFS.ZS,155.731904417046,156.491052766236,140.493001133496,136.887263320827,138.716620095236,138.824972245657,137.9619293134
ABW,NV.AGR.TOTL.ZS,0.0178174631618829,0.0148129732019303,0.0125197907912791,0.018611754127868,0.023918578557175,0.0222530069695395,0.0184243247340194
ABW,NY.GDP.PCAP.KD.ZG,4.85525795729174,0.35112842842166,2.55621874043514,0.469912651203259,3.48581549286742,3.0485184481057,0.951663645650427
ABW,NY.GDP.TOTL.RT.ZS,0.00245165331607624,0.00323517161852513,0.00238765944448716,0.0033437423337293,0.00282719063862959,0.00188469168678285,0.00168011577104813
ABW,PA.NUS.FCRF,1.79,1.79,1.79,1.79,1.79,1.79,1.79
ABW,SE.SEC.ENRR,,,,,,137.829788208008,139.320587158203
ABW,SE.TER.ENRR,17.1258697509766,17.7518997192383,16.7312393188477,17.1416206359863,,,
ABW,SE.XPD.TOTL.GD.ZS,6.44295978546143,5.85128021240234,5.88826990127563,5.49136018753052,4.45581996127504,4.54876355243615,4.43503686776957
ABW,SP.DYN.LE00.IN,75.072,75.261,75.405,75.54,75.62,75.88,76.019
ABW,SP.POP.GROW,1.49203139661921,1.06551209965487,1.02370103122312,0.75796755862231,0.007357607309414,0.158975971141518,0.270504632854835
ABW,SP.URB.TOTL.IN.ZS,63.6382914355326,63.4392531303795,63.2288374043053,63.0077880571142,62.7768488886109,62.5367636985996,62.288276286885
ABW,TM.TAX.MRCH.SM.AR.ZS,10.16,,9.77,10.27,9.99,10.01,10.92
AFE,AG.LND.ARBL.ZS,7.91425148518127,7.96547689672921,8.00581917023574,8.10225007582914,8.16497085237649,8.26209608574463,8.26284817159687
AFE,BX.GSR.ROYL.CD,233043691.754295,255938162.83105,262142819.386628,228230913.253991,272195248.892647,314295220.696749,242242547.499396
AFE,BX.KLT.DINV.WD.GD.ZS,2.19652894927539,2.77477576165797,3.15341226900222,2.01279729360831,1.04098584311975,1.29749882402945,1.48207355066174
AFE,EG.ELC.ACCS.ZS,31.7235735731483,31.8719561283579,33.9222756622758,38.8595976583714,40.2237441730368,43.0350733507835,44.390860533364
AFE,EG.FEC.RNEW.ZS,60.8017990466951,61.2358816947099,61.6702780479896,61.8228841937413,61.4269497576408,61.5875298317964,62.6907096127666
AFE,FB.ATM.TOTL.P5,6.72040934487707,7.61731471336048,8.47631584211759,8.13253058109746,8.31947407540491,8.05084587682472,8.88636870708275
AFE,FD.AST.PRVT.GD.ZS,37.6045167440677,36.926514371652,38.5787970024901,38.4014619654637,36.5671548625635,36.0286765466574,35.9522601683149
AFE,FP.CPI.TOTL.ZG,5.74883133553454,5.52581923392517,5.09856164363687,6.44687722255584,6.22137528933118,4.6898064677633,4.10285075461156
AFE,FS.AST.DOMS.GD.ZS,,,,101.331885401835,101.728381220632,,
AFE,GC.XPN.TOTL.GD.ZS,23.9459243617254,23.9291254016154,23.1083859050964,22.1248209106902,23.1653823213514,23.2956865871933,23.5983810964468
AFE,IQ.CPA.FINS.XQ,2.86842105263158,2.94444444444444,2.91666666666667,2.80555555555556,2.76315789473684,2.77777777777778,2.73684210526316
AFE,IQ.CPA.PROP.XQ,2.68421052631579,2.72222222222222,2.72222222222222,2.75,2.65789473684211,2.72222222222222,2.60526315789474
AFE,IQ.CPA.TRAD.XQ,3.5,3.52777777777778,3.52777777777778,3.5,3.39473684210526,3.52777777777778,3.39473684210526
AFE,IT.CEL.SETS.P2,57.6880768277277,61.9358160623131,66.5,63.6,63.5,65.2,67.9
AFE,IT.NET.USER.ZS,10.0,12.1,14.3,16.3,17.3,19.6,21.6
AFE,NE.TRD.GNFS.ZS,61.4749476479476,59.8998848247145,54.919335043677,52.9532018565789,51.8332071754235,55.0220378948386,53.528129184284
AFE,NV.AGR.TOTL.ZS,11.4902471456998,12.2765768281439,13.0150928784089,12.8864676029798,12.4624744974616,11.991747543543,12.9537634387917
AFE,NY.GDP.PCAP.KD.ZG,1.52775556150408,1.14792763944376,0.195170651571047,-0.531578202025244,0.000238209279459056,-0.0649911495143698,-0.709406765771149
AFE,NY.GDP.TOTL.RT.ZS,11.0178558522859,9.38296875339101,6.60084684041393,7.22666290910055,7.8985670517882,7.54909239311972,6.73387216198373
AFE,SE.ADT.LITR.ZS,69.370002746582,69.8300018310547,70.2399978637695,70.9599990844727,70.879997253418,71.6699981689453,72.8000030517578
AFE,SE.SEC.ENRR,41.1352310180664,42.2156600952148,42.2618598937988,42.6814994812012,43.2540893554688,43.5594100952148,44.1287307739258
AFE,SE.TER.ENRR,8.18673038482666,8.29104042053223,8.43400001525879,8.57314014434814,8.71269035339355,8.7509298324585,8.67273044586182
AFE,SE.XPD.TOTL.GD.ZS,4.63769446369719,4.65965986251831,4.73791868878759,4.69199991226196,4.5962700843811,4.9091899394989,4.51140984355031
AFE,SH.DYN.MORT,71.3718833965859,70.8075544059449,69.7257641113397,68.3630285644492,67.7377996223608,63.4229471071233,61.4916357499261
AFE,SH.XPD.CHEX.GD.ZS,6.06326573940287,5.71333425759159,5.89167008074868,6.01403640033509,5.86588226298921,5.73062852507169,5.7558901923726
AFE,SL.UEM.TOTL.ZS,6.88972223038428,6.86242857576034,6.9309412585873,7.07442880999326,7.21491501896869,7.24484282680541,7.45910636823544
AFE,SP.DYN.LE00.IN,60.895739752772,61.2514360156709,61.713030523495,62.1679813169199,62.5912750961501,63.3306913582336,63.8572612837043
AFE,SP.POP.GROW,2.7482455829431,2.70410469635343,2.69683038788555,2.64074325542301,2.64206728810391,2.73426282366823,2.72168052257397
AFE,SP.URB.TOTL.IN.ZS,33.6673142772775,34.0775774023013,34.4906809355644,34.8812106693274,35.2829868326458,35.714718464725,36.0973307017698
AFG,AG.LND.ARBL.ZS,11.9359735062785,11.9145086855864,11.9053094767183,11.8501142235101,11.8041181791699,11.9497723195805,11.9405731107125
AFG,BN.CAB.XOKA.GD.ZS,-25.290058564309,-15.7724198274304,-21.9126573355151,-14.9501951919169,-18.9559612272258,-21.5852741164653,-20.1704643881064
AFG,BX.GSR.ROYL.CD,,463662.430553814,12809.26,,,,5555.67146925886
AFG,BX.KLT.DINV.WD.GD.ZS,0.239801184405551,0.209664794672203,0.88400046336123,0.516606084523093,0.274796791572807,0.661572217787196,0.124495985291258
AFG,EG.ELC.ACCS.ZS,68.0,89.5,71.5,97.7,97.7,93.4,97.7
AFG,EG.FEC.RNEW.ZS,16.9,19.1,17.7,20.2,19.5,18.3,18.9
AFG,FB.ATM.TOTL.P5,0.705169580857027,0.749717257366689,0.917247559370298,1.05993372422066,1.2132447384193,1.61195200486176,1.6404260190941
AFG,FD.AST.PRVT.GD.ZS,4.10825623711864,3.73272021162013,3.78980675535297,3.77581257666065,3.71038110758839,3.44212677085205,3.1735454944513
AFG,FP.CPI.TOTL.ZG,7.38577178397855,4.67399603536344,-0.661709164713741,4.38389195513914,4.97595150553832,0.626149149168846,2.30237251516833
AFG,FR.INR.RINR,9.78449593859924,14.3516893380043,12.2525481629518,17.5839381624543,12.1411782956513,,
AFG,GC.XPN.TOTL.GD.ZS,42.0936844468805,44.5892994893339,37.0225695736427,43.9227656125389,39.2201099807684,,
AFG,IQ.CPA.FINS.XQ,2.0,2.0,2.0,2.0,2.0,2.0,2.0
AFG,IQ.CPA.PROP.XQ,1.5,1.5,1.5,2.0,2.0,2.0,2.0
AFG,IQ.CPA.TRAD.XQ,3.0,3.0,3.5,3.5,3.5,3.5,3.5
AFG,IT.CEL.SETS.P2,53.1490159728276,56.1322103822265,58.256016446556,62.2553342863232,67.0507903920361,59.8109345283062,59.6470805870469
AFG,IT.NET.USER.ZS,5.900000095,7.0,8.260000229,11.0,13.5,16.79999924,17.60000038
